Name,Date,Open,High,Low,Close,Volume
INTLPZU18903,20170704,4.73,4.73,4.73,4.73,200
INTLPZU18903,20170707,4.67,4.67,4.67,4.67,100
INTLPZU18903,20170710,5.08,5.08,5.08,5.08,200
INTLPZU18903,20170712,4.40,4.40,4.40,4.40,400
INTLPZU18903,20170713,4.62,4.79,4.62,4.79,1564
INTLPZU18903,20170714,4.28,4.30,4.28,4.30,740
INTLPZU18903,20170717,5.27,5.27,4.61,4.61,639
INTLPZU18903,20170718,4.60,4.60,4.60,4.60,100
INTLPZU18903,20170719,4.92,4.92,4.92,4.92,2000
INTLPZU18903,20170720,5.84,5.84,5.84,5.84,1000
INTLPZU18903,20170721,5.90,5.90,5.90,5.90,24
